ID,Geburtsjahr,Bildungsniveau,Familienstand,Einkommen,Kinder_zu_Hause,Teenager_zu_Hause,Datum_Kunde,Letzter_Kauf_Tage,Beschwerde,Ausgaben_Wein,Ausgaben_Obst,Ausgaben_Fleisch,Ausgaben_Fisch,Ausgaben_Süßigkeiten,Ausgaben_Gold,Anzahl_Rabattkäufe,Anzahl_Webkäufe,Anzahl_Katalogkäufe,Anzahl_Ladeneinkäufe,Anzahl_WebBesuche_Monat,Kampagne_1_Akzeptiert,Kampagne_2_Akzeptiert,Kampagne_3_Akzeptiert,Kampagne_4_Akzeptiert,Kampagne_5_Akzeptiert,Antwort_Letzte_Kampagne
2278,1995,Zweiter Studienzyklus,Ledig,33812.0,1,0,03-11-2022,86,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0
9360,1992,Hochschulabschluss,Verheiratet,37040.0,0,0,08-08-2022,41,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0
5376,1989,Hochschulabschluss,Verheiratet,2447.0,1,0,06-01-2023,42,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0
1993,1959,Doktor,Verheiratet,58607.0,0,1,23-12-2022,63,0,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0
4047,1964,Doktor,Verheiratet,65324.0,0,1,11-01-2024,0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0
1409,1961,Hochschulabschluss,Zusammenlebend,40689.0,0,1,18-03-2023,69,0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0
7892,1979,Hochschulabschluss,Ledig,18589.0,0,0,02-01-2023,89,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0
2404,1986,Hochschulabschluss,Verheiratet,53359.0,1,1,27-05-2023,4,0,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0
5255,1996,Hochschulabschluss,Ledig,,1,0,20-02-2023,19,0,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0
9422,1999,Hochschulabschluss,Verheiratet,38360.0,1,0,31-05-2023,26,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0
1966,1975,Doktor,Verheiratet,84618.0,0,0,22-11-2023,96,0,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0
6864,1999,Master,Geschieden,10979.0,0,0,22-05-2024,34,0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0
3033,1973,Master,Zusammenlebend,38620.0,0,0,11-05-2023,56,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0
5710,1980,Hochschulabschluss,Zusammenlebend,40548.0,0,1,10-10-2022,31,0,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0
7373,1962,Doktor,Geschieden,46610.0,0,2,29-10-2022,8,0,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1
8755,1956,Master,Verheiratet,68657.0,0,0,20-02-2023,4,0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0
10738,1961,Master,Ledig,49389.0,1,1,29-08-2023,55,0,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0
4339,1980,Doktor,Verheiratet,67353.0,0,1,31-12-2023,37,0,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0
10755,1986,Zweiter Studienzyklus,Verheiratet,23718.0,1,0,02-09-2023,76,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0
8595,1983,Hochschulabschluss,Verwitwet,42429.0,0,1,11-02-2024,99,0,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0
2968,1953,Doktor,Geschieden,48948.0,0,0,01-02-2023,53,0,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,1
8601,1990,Hochschulabschluss,Verheiratet,80011.0,0,1,29-04-2023,3,0,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0
503,1995,Master,Verheiratet,20559.0,1,0,12-03-2023,88,0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0
8430,1967,Hochschulabschluss,Zusammenlebend,21994.0,0,1,24-12-2022,4,0,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0
7281,1969,Doktor,Ledig,,0,0,05-11-2023,80,0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0
2139,1985,Master,Verheiratet,7500.0,1,0,02-10-2023,19,0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0
1371,1986,Hochschulabschluss,Ledig,79941.0,0,0,28-06-2024,72,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0
9909,2006,Zweiter Studienzyklus,Verheiratet,7500.0,0,0,09-11-2022,24,0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1
7286,1978,Hochschulabschluss,Zusammenlebend,41728.0,1,0,24-05-2023,92,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0
7244,1961,Hochschulabschluss,Ledig,,2,1,01-01-2024,96,0,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0
6566,1964,Doktor,Verheiratet,72550.0,1,1,08-11-2022,39,0,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0
8614,1967,Hochschulabschluss,Verwitwet,65486.0,0,1,12-05-2024,29,0,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0
4114,1974,Master,Verheiratet,79143.0,0,0,11-08-2022,2,0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0
1331,1987,Hochschulabschluss,Ledig,35790.0,1,0,02-01-2023,54,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0
2225,1987,Hochschulabschluss,Geschieden,82582.0,0,0,07-06-2024,54,0,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,1
9381,1988,Hochschulabschluss,Verheiratet,66373.0,1,1,12-06-2023,57,0,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0
6260,1965,Master,Zusammenlebend,82384.0,0,0,19-11-2022,55,0,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,1
10383,1976,Hochschulabschluss,Geschieden,70287.0,0,0,02-04-2023,30,0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1
7437,1998,Hochschulabschluss,Ledig,27938.0,1,0,28-04-2024,31,0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0
8557,1992,Hochschulabschluss,Ledig,,1,0,17-06-2023,57,0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0
8375,1978,Doktor,Verheiratet,55954.0,0,1,03-03-2024,63,0,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0
6853,1992,Master,Ledig,75777.0,0,0,04-07-2023,12,0,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,1
3076,1985,Hochschulabschluss,Zusammenlebend,66653.0,1,1,07-09-2022,18,0,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0
1012,1962,Hochschulabschluss,Ledig,61823.0,0,1,18-02-2023,26,0,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0
6518,1961,Doktor,Verwitwet,67680.0,0,1,11-06-2023,8,0,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0
4137,1958,Hochschulabschluss,Zusammenlebend,70666.0,0,0,06-12-2023,29,0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0
8082,1981,Hochschulabschluss,Verheiratet,25721.0,1,0,21-05-2023,75,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1
1386,1977,Hochschulabschluss,Zusammenlebend,32474.0,1,1,11-05-2024,0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0
9369,1989,Zweiter Studienzyklus,Ledig,88194.0,0,1,19-03-2024,19,0,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,1
4477,1968,Hochschulabschluss,Zusammenlebend,69096.0,0,1,27-09-2023,4,0,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0
1357,1980,Hochschulabschluss,Zusammenlebend,74854.0,1,2,08-04-2023,90,0,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0
1402,1964,Master,Verheiratet,66991.0,0,0,11-09-2022,1,0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0
10629,1983,Zweiter Studienzyklus,Verheiratet,,1,0,14-09-2022,25,0,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0
6312,1969,Hochschulabschluss,Verheiratet,65031.0,0,1,17-03-2023,29,0,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0
8132,1985,Doktor,Verheiratet,60631.0,1,1,05-04-2023,88,0,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0
1050,1962,Hochschulabschluss,Verheiratet,28332.0,0,0,30-04-2024,58,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0
5846,1987,Hochschulabschluss,Geschieden,40246.0,1,0,19-12-2022,68,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0
1859,1982,Master,Verheiratet,75251.0,0,0,27-08-2022,34,0,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1
7503,1986,Hochschulabschluss,Ledig,75825.0,0,0,12-10-2022,40,0,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,1
10401,1986,Zweiter Studienzyklus,Zusammenlebend,26326.0,0,0,04-09-2023,12,1,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0
1618,1975,Hochschulabschluss,Zusammenlebend,56046.0,0,0,02-01-2023,9,0,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,1
3332,1995,Hochschulabschluss,Ledig,29760.0,1,0,29-08-2022,87,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0
2261,1979,Hochschulabschluss,Verheiratet,26304.0,1,0,23-06-2023,5,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0
5346,1983,Zweiter Studienzyklus,Verheiratet,23559.0,1,0,03-07-2023,87,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0
4119,1973,Master,Zusammenlebend,38620.0,0,0,11-05-2023,56,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0
535,1997,Hochschulabschluss,Geschieden,81361.0,0,0,25-02-2024,18,0,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0
5268,1970,Hochschulabschluss,Verheiratet,29440.0,1,1,11-08-2023,95,0,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0
273,1980,Master,Verheiratet,36138.0,1,1,16-07-2023,48,0,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0
4452,1967,Hochschulabschluss,Ledig,50388.0,0,1,28-05-2024,3,0,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,1
8504,1983,Hochschulabschluss,Verheiratet,79593.0,0,0,12-05-2024,70,0,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0
771,1977,Hochschulabschluss,Zusammenlebend,54178.0,0,1,21-01-2024,79,0,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0
8996,1967,Doktor,Verheiratet,,2,1,19-11-2022,4,0,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0
9235,1967,Hochschulabschluss,Ledig,,1,1,27-05-2024,45,0,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0
5798,1983,Master,Zusammenlebend,,0,0,23-11-2023,87,0,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0
11178,1982,Master,Ledig,42394.0,1,0,23-03-2024,69,0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0
2230,1980,Doktor,Verheiratet,23626.0,1,0,24-05-2024,84,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0
7516,1993,Hochschulabschluss,Verheiratet,30096.0,1,0,22-05-2024,30,0,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0
7247,1970,Hochschulabschluss,Verwitwet,47916.0,0,1,22-11-2022,72,0,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0
11100,1982,Hochschulabschluss,Geschieden,51813.0,1,1,11-04-2023,37,0,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0
4646,1961,Zweiter Studienzyklus,Verheiratet,78497.0,0,0,01-12-2023,44,0,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0
3037,1993,Doktor,Verheiratet,50150.0,0,0,20-06-2023,32,0,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0
1473,1970,Zweiter Studienzyklus,Ledig,47823.0,0,1,23-07-2023,0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0
1016,1969,Doktor,Ledig,34554.0,0,1,30-03-2024,43,0,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0
4518,1989,Hochschulabschluss,Zusammenlebend,85693.0,0,1,20-04-2023,59,0,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0
9370,1955,Doktor,Verheiratet,65846.0,0,0,17-05-2023,68,0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0
8908,1969,Hochschulabschluss,Verheiratet,87195.0,0,0,08-05-2024,35,0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1
8373,1989,Grundbildung,Zusammenlebend,24594.0,1,0,10-12-2023,94,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0
7533,1974,Hochschulabschluss,Verheiratet,49096.0,1,1,24-09-2023,15,0,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0
2683,1979,Hochschulabschluss,Verheiratet,52413.0,0,2,02-02-2023,56,0,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0
3629,1988,Hochschulabschluss,Ledig,38557.0,1,0,19-12-2022,17,0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0
10991,1970,Master,Verheiratet,89058.0,0,0,07-12-2022,18,0,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0
5077,1989,Hochschulabschluss,Zusammenlebend,77298.0,0,1,02-11-2023,46,0,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0
7431,2001,Doktor,Ledig,68126.0,0,0,10-11-2022,40,0,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,1
3267,1973,Master,Zusammenlebend,57288.0,0,1,25-06-2024,27,0,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0
999,2001,Hochschulabschluss,Ledig,86037.0,0,0,02-01-2023,95,0,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,1
9215,1990,Doktor,Verheiratet,43974.0,1,0,12-12-2022,19,0,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0
2286,1972,Hochschulabschluss,Ledig,50785.0,1,1,10-09-2023,27,0,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0
1592,1980,Hochschulabschluss,Verheiratet,90765.0,0,0,24-01-2024,25,0,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0
367,1988,Zweiter Studienzyklus,Verheiratet,36550.0,1,0,19-02-2023,74,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0
5234,1977,Zweiter Studienzyklus,Zusammenlebend,30753.0,1,1,11-07-2023,85,0,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0
9862,1979,Hochschulabschluss,Zusammenlebend,21918.0,1,0,14-11-2023,37,0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0
9805,1963,Master,Zusammenlebend,56129.0,0,1,20-06-2023,65,0,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0
6205,1977,Master,Ledig,32557.0,1,0,24-02-2024,13,0,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1
8442,1995,Master,Verheiratet,19510.0,2,0,04-09-2023,63,0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0
7386,1986,Hochschulabschluss,Geschieden,30992.0,1,0,22-04-2023,83,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0
7215,1993,Hochschulabschluss,Ledig,101970.0,0,0,12-03-2023,69,0,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,1
1491,1975,Zweiter Studienzyklus,Zusammenlebend,71488.0,0,0,18-02-2023,87,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0
11071,1994,Hochschulabschluss,Ledig,79607.0,0,0,21-04-2023,37,0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1
3381,1963,Master,Verheiratet,54348.0,1,1,08-06-2024,51,0,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0
8268,1971,Doktor,Verheiratet,,0,1,11-07-2023,23,0,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0
11051,1966,Doktor,Zusammenlebend,77376.0,1,1,10-05-2024,72,0,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0
8026,1962,Hochschulabschluss,Verheiratet,62998.0,0,1,30-09-2023,10,0,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0
433,1968,Master,Allein,61331.0,1,1,10-03-2023,42,0,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0
9597,1979,Hochschulabschluss,Verheiratet,73448.0,0,0,10-02-2024,10,0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0
1295,1973,Hochschulabschluss,Verheiratet,,0,1,11-08-2023,96,0,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0
5290,1974,Doktor,Verheiratet,41551.0,1,1,14-08-2023,51,0,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0
1685,1977,Doktor,Zusammenlebend,62981.0,0,0,17-03-2023,21,0,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0
5342,1986,Grundbildung,Geschieden,9548.0,1,0,08-08-2022,31,0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0
9579,1969,Doktor,Verheiratet,33762.0,2,1,07-07-2023,61,0,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0
7660,1983,Doktor,Allein,35860.0,1,1,19-05-2024,37,0,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,1
1461,1975,Doktor,Geschieden,36921.0,1,1,28-07-2023,74,0,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0
821,2002,Master,Ledig,92859.0,0,0,19-10-2022,46,0,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0
11084,1986,Master,Zusammenlebend,65104.0,0,1,14-11-2023,4,0,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1
8690,1972,Hochschulabschluss,Verheiratet,86111.0,0,0,19-04-2023,73,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0
2937,1984,Doktor,Ledig,68352.0,0,1,28-08-2023,47,0,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0
9701,1998,Hochschulabschluss,Zusammenlebend,41883.0,1,0,19-03-2023,13,0,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0
9949,1986,Hochschulabschluss,Verheiratet,59809.0,0,2,18-10-2022,36,0,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0
10837,1985,Hochschulabschluss,Verheiratet,23957.0,1,0,28-10-2022,47,0,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1
3120,1991,Hochschulabschluss,Zusammenlebend,38547.0,1,0,28-08-2023,49,1,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0
5885,1983,Zweiter Studienzyklus,Verheiratet,35688.0,2,1,22-08-2022,94,0,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0
4050,1976,Master,Verheiratet,49605.0,0,0,21-06-2024,65,0,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0
3830,1963,Master,Verheiratet,59354.0,0,2,24-04-2024,59,0,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0
7987,1979,Hochschulabschluss,Verheiratet,65747.0,0,1,07-03-2024,96,0,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0
7798,1982,Zweiter Studienzyklus,Zusammenlebend,46344.0,0,1,14-12-2022,28,0,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0
92,1998,Hochschulabschluss,Allein,34176.0,1,0,12-05-2024,12,0,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0
7055,1962,Doktor,Zusammenlebend,61010.0,0,1,09-10-2022,57,0,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0
10240,1959,Hochschulabschluss,Zusammenlebend,69372.0,0,0,19-02-2023,10,0,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,1
3025,1968,Hochschulabschluss,Ledig,49967.0,0,1,08-07-2023,4,0,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0
9283,1988,Hochschulabschluss,Ledig,60199.0,1,2,12-09-2023,49,0,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0
9970,1987,Hochschulabschluss,Zusammenlebend,55375.0,0,1,17-10-2023,3,0,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0
2730,1965,Hochschulabschluss,Ledig,80317.0,0,0,20-08-2023,64,0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0
2795,1968,Master,Ledig,30523.0,2,1,01-07-2023,0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0
9260,1955,Doktor,Verheiratet,70356.0,0,0,05-11-2022,20,0,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0
8182,1994,Hochschulabschluss,Verheiratet,23228.0,1,0,05-01-2024,91,0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0
10095,1985,Doktor,Geschieden,74165.0,0,0,01-05-2023,9,0,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0
8475,1983,Doktor,Verheiratet,157243.0,0,1,01-03-2024,98,0,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0
4370,1976,Hochschulabschluss,Zusammenlebend,43482.0,2,1,13-11-2023,83,0,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0
10573,1963,Hochschulabschluss,Geschieden,62551.0,0,0,18-11-2023,27,0,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0
3712,1969,Hochschulabschluss,Geschieden,52332.0,0,0,28-08-2023,63,0,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0
6637,1998,Hochschulabschluss,Ledig,66951.0,0,0,02-11-2023,46,0,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0
3152,1967,Hochschulabschluss,Zusammenlebend,26091.0,1,1,25-02-2024,84,0,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0
5610,1975,Hochschulabschluss,Zusammenlebend,33456.0,1,1,21-04-2024,58,0,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0
6460,1992,Hochschulabschluss,Verheiratet,28718.0,1,0,13-07-2023,78,0,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0
1349,1980,Hochschulabschluss,Verheiratet,50447.0,2,0,21-04-2024,4,0,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0
1880,1969,Doktor,Zusammenlebend,53537.0,1,1,30-01-2024,17,0,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0
641,1977,Hochschulabschluss,Ledig,52074.0,0,1,04-04-2024,77,0,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0
8717,1985,Doktor,Verheiratet,80427.0,0,1,12-09-2022,56,0,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0
10314,1958,Doktor,Verheiratet,83837.0,0,0,16-12-2022,79,0,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,1
10854,1980,Doktor,Verheiratet,38853.0,1,1,23-05-2024,90,0,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0
